1;ÓLEO COMPOSTO/MISTO MARIA LATA 200ML;UN;5,48;14/09/2020
2;ÓLEO COMPOSTO/MISTO MARIA GARRAFA 500ML;UN;9,25;14/09/2020
3;ÓLEO COMPOSTO/MISTO FAISÃO TRADICIONAL LATA 500ML;UN;8,49;14/09/2020
4;ÓLEO COMPOSTO/MISTO OLÍVIA (TODOS SABORES) GARRAFA 500ML;UN;8,75;14/09/2020
5;ÓLEO COMPOSTO/MISTO OLÍVIA (TODOS SABORES) LATA 200ML;UN;3,60;14/09/2020
6;ÓLEO COMPOSTO/MISTO QUALITA (TODOS SABORES) GARRAFA 500ML;UN;6,38;14/09/2020
7;ÓLEO COMPOSTO/MISTO QUALITA (TODOS SABORES) LATA 200ML;UN;4,14;14/09/2020
8;ÓLEO COMPOSTO/MISTO SINHÁ (TODOS SABORES) GARRAFA  250ML;UN;3,88;14/09/2020
9;ÓLEO COMPOSTO/MISTO SINHÁ (TODOS SABORES) GARRAFA  500ML;UN;6,32;14/09/2020
10;ÓLEO COMPOSTO/MISTO SINHÁ (TODOS SABORES) LATA 200ML;UN;4,10;14/09/2020
11;ÓLEO COMPOSTO/MISTO DOM ORLEANS LATA 500ML;UN;4,73;14/09/2020
12;ÓLEO COMPOSTO/MISTO IMPERATORE GARRAFA  500ML;UN;5,85;14/09/2020
13;ÓLEO COMPOSTO/MISTO LIZA EQUILIBRIO GARRAFA 900ML;UN;10,34;14/09/2020
14;ÓLEO COMPOSTO/MISTO DIVERSAS MARCAS EMBALAGENS 200ML;UN;5,48;14/09/2020
15;ÓLEO COMPOSTO/MISTO DIVERSAS MARCAS EMBALAGENS 250ML;UN;6,85;14/09/2020
16;ÓLEO COMPOSTO/MISTO DIVERSAS MARCAS EMBALAGENS 500ML;UN;9,25;14/09/2020
17;ÓLEO COMPOSTO/MISTO DIVERSAS MARCAS EMBALAGENS 900ML;UN;10,34;14/09/2020
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
